unit_price,transaction_qty,Revenue
3,2,6
3.1,2,6.2
4.5,2,9
2,1,2
3.1,2,6.2
3,1,3
2,1,2
2,2,4
4.25,1,4.25
3.5,2,7
2.55,1,2.55
3.5,2,7
3,1,3
3.1,1,3.1
3,2,6
3,2,6
3.75,1,3.75
2.5,1,2.5
4.5,2,9
4.75,1,4.75
3.5,2,7
2.55,2,5.1
3.25,1,3.25
2.55,1,2.55
3.75,1,3.75
3,1,3
3.5,1,3.5
3,2,6
3.75,1,3.75
3.75,2,7.5
3.75,1,3.75
3,1,3
3.5,2,7
2.5,2,5
2.5,1,2.5
3,1,3
4,1,4
3.75,2,7.5
3,1,3
3,2,6
3,1,3
3.75,2,7.5
4.5,1,4.5
2.55,1,2.55
3,1,3
2.5,1,2.5
2.55,2,5.1
2.5,1,2.5
2.5,1,2.5
2.5,1,2.5
3,1,3
3,2,6
3,2,6
2.2,2,4.4
4.5,1,4.5
3.75,1,3.75
3,1,3
2.45,1,2.45
3.75,2,7.5
3.5,1,3.5
3,1,3
4.25,2,8.5
4.25,1,4.25
3,2,6
3.75,1,3.75
2.5,2,5
3,1,3
3,2,6
3.75,2,7.5
3,2,6
3.25,1,3.25
2.5,1,2.5
3,1,3
3.75,2,7.5
3.25,1,3.25
3.1,1,3.1
2.5,1,2.5
3,2,6
2,1,2
3,2,6
3.75,2,7.5
3,1,3
3.75,1,3.75
3,2,6
2.5,1,2.5
4.25,2,8.5
2.2,2,4.4
2.5,2,5
2.5,1,2.5
2.55,2,5.1
3.5,2,7
3.5,1,3.5
3,2,6
3.1,1,3.1
3.25,1,3.25
3.75,1,3.75
4.5,1,4.5
3.75,2,7.5
3,2,6
4.75,2,9.5
3,1,3
2.5,2,5
3.75,1,3.75
3.75,1,3.75
3.5,1,3.5
2,1,2
3.75,1,3.75
3.5,1,3.5
3,2,6
3.5,1,3.5
4.25,2,8.5
4.5,1,4.5
3,2,6
4.5,1,4.5
3,1,3
3.75,1,3.75
2.5,1,2.5
3,1,3
3,2,6
2.5,2,5
3,2,6
3.75,1,3.75
2.2,1,2.2
3.75,2,7.5
3,1,3
3,2,6
3.75,2,7.5
2.5,2,5
3.5,2,7
2.55,2,5.1
3.1,2,6.2
4.5,1,4.5
2.5,1,2.5
3,1,3
3,2,6
3.25,1,3.25
2.5,2,5
3.5,1,3.5
3.75,1,3.75
3.75,1,3.75
2.5,2,5
2.2,2,4.4
3.75,1,3.75
3,1,3
2.5,2,5
2.5,1,2.5
3.25,1,3.25
3,2,6
3.75,2,7.5
3,2,6
3.5,2,7
3.1,1,3.1
3,2,6
2.5,1,2.5
3.75,1,3.75
3.75,2,7.5
2.5,1,2.5
3,2,6
3.1,2,6.2
3.5,1,3.5
3.75,1,3.75
3,1,3
2.5,1,2.5
3.5,2,7
2.5,2,5
2.5,1,2.5
3,1,3
3,1,3
3.1,1,3.1
2,2,4
2.5,2,5
3.75,2,7.5
3.1,2,6.2
2.5,2,5
2.2,2,4.4
3,2,6
3.75,2,7.5
3,1,3
4.25,2,8.5
2.5,2,5
3.75,1,3.75
2.5,2,5
2.5,2,5
2.2,2,4.4
3.75,1,3.75
3,2,6
3,1,3
3.75,1,3.75
3,1,3
2.5,1,2.5
2,2,4
2.55,1,2.55
2.5,1,2.5
3.5,1,3.5
3.5,1,3.5
3.75,2,7.5
3,1,3
4.5,1,4.5
3,2,6
3,1,3
4.75,1,4.75
3.25,1,3.25
2.55,1,2.55
3.5,1,3.5
2.5,2,5
3,1,3
3,1,3
3.1,1,3.1
3.5,1,3.5
3,1,3
3,2,6
4.75,1,4.75
3,1,3
2.5,2,5
3.75,1,3.75
3,2,6
2.2,2,4.4
3,1,3
4.5,1,4.5
3,1,3
3,2,6
2.2,2,4.4
3.25,1,3.25
2.5,2,5
2.5,2,5
2,1,2
3.5,1,3.5
3,2,6
3.1,1,3.1
3,2,6
3.75,1,3.75
2.55,1,2.55
4,2,8
3,2,6
4,1,4
3.5,1,3.5
2.5,1,2.5
2.2,2,4.4
3.1,2,6.2
3.75,2,7.5
2.5,1,2.5
2.5,2,5
3.5,2,7
3.75,2,7.5
2.2,2,4.4
2.2,2,4.4
3,1,3
2,2,4
3.5,1,3.5
3.75,2,7.5
3,1,3
2.5,2,5
2.5,2,5
3,1,3
3.75,1,3.75
2.5,1,2.5
3.25,1,3.25
2.5,2,5
3.25,1,3.25
2.2,2,4.4
3.1,1,3.1
3.75,1,3.75
2,2,4
3,1,3
2.5,2,5
3,2,6
3.75,2,7.5
3.5,1,3.5
2,2,4
2.5,1,2.5
3,2,6
2.5,2,5
3,1,3
3.5,2,7
3.75,1,3.75
2.5,2,5
2.45,1,2.45
4.25,2,8.5
2.2,2,4.4
3.25,1,3.25
3,1,3
4.25,2,8.5
2.5,1,2.5
3,1,3
3.75,1,3.75
3.75,2,7.5
3.1,2,6.2
2.5,2,5
3.1,2,6.2
2.5,2,5
3,2,6
4.25,2,8.5
4,1,4
3.75,1,3.75
4.25,2,8.5
3.75,1,3.75
3.5,2,7
3,2,6
4.75,1,4.75
3,2,6
3,2,6
4.5,1,4.5
2.5,1,2.5
3.1,1,3.1
2.5,1,2.5
3,2,6
4.25,2,8.5
4.25,2,8.5
4,1,4
3,2,6
3.1,1,3.1
2.5,1,2.5
3,1,3
2.45,2,4.9
4.75,2,9.5
2.5,2,5
3,1,3
2.5,1,2.5
3,1,3
3.5,1,3.5
3,2,6
3,2,6
2.45,2,4.9
3,2,6
3,1,3
4.25,2,8.5
3.75,1,3.75
2.2,2,4.4
3,2,6
2,1,2
4.75,1,4.75
3.75,1,3.75
3.5,1,3.5
3,1,3
2.5,2,5
3,2,6
3.75,2,7.5
4.75,1,4.75
2.5,1,2.5
3,2,6
4.25,2,8.5
3,1,3
2.5,2,5
3.5,2,7
3.5,1,3.5
3,1,3
3.1,1,3.1
3.25,1,3.25
3,1,3
2.2,2,4.4
2.45,1,2.45
2.5,2,5
2,2,4
3.5,1,3.5
4.25,2,8.5
3.5,1,3.5
3,2,6
2.5,1,2.5
3.75,1,3.75
2.5,2,5
3.75,2,7.5
3.1,2,6.2
4.25,2,8.5
3.25,1,3.25
3.5,2,7
3,1,3
2.2,2,4.4
2.5,1,2.5
3.75,1,3.75
4.25,1,4.25
2.45,2,4.9
2.5,1,2.5
2.5,2,5
2.5,2,5
2.5,2,5
2.5,2,5
2.5,2,5
3,1,3
2.45,2,4.9
2.5,2,5
2.5,2,5
2.55,1,2.55
3.75,2,7.5
3.75,2,7.5
2,1,2
2,1,2
2.5,1,2.5
2.55,1,2.55
3,2,6
2.5,1,2.5
3.5,2,7
3.75,1,3.75
3.1,1,3.1
2,1,2
3.75,1,3.75
3.5,1,3.5
3.5,1,3.5
2.5,1,2.5
2.5,1,2.5
2.5,2,5
2.5,2,5
2.5,1,2.5
3.25,1,3.25
2.5,2,5
3,1,3
3.75,1,3.75
2.5,1,2.5
2.5,2,5
2.5,1,2.5
2,1,2
3.5,1,3.5
3.25,1,3.25
3.75,2,7.5
2.5,2,5
2.5,1,2.5
3.75,2,7.5
3,2,6
3.5,1,3.5
4.5,1,4.5
3.75,2,7.5
2.2,2,4.4
3.1,1,3.1
4,2,8
2.2,1,2.2
2.5,1,2.5
2.45,2,4.9
3.5,1,3.5
4.25,2,8.5
2,2,4
3,2,6
4.5,1,4.5
2.5,2,5
3,1,3
3.75,1,3.75
2.5,1,2.5
4.25,1,4.25
3.5,2,7
3.1,1,3.1
3.5,1,3.5
3,1,3
3.25,1,3.25
2.5,1,2.5
3.5,1,3.5
2.5,2,5
3,1,3
3.25,1,3.25
2.5,1,2.5
4,1,4
4,2,8
3.75,1,3.75
2.5,2,5
3.5,2,7
3.5,1,3.5
2.45,1,2.45
3.5,1,3.5
3.75,2,7.5
3.5,1,3.5
3.75,2,7.5
3,1,3
3.75,2,7.5
3.75,2,7.5
2.55,2,5.1
3,1,3
4.25,1,4.25
3,2,6
3.5,1,3.5
3,2,6
2.5,1,2.5
3,2,6
2,1,2
4.5,1,4.5
2,1,2
3,2,6
3.75,1,3.75
2.5,1,2.5
2.45,2,4.9
